precinct,A. D. NESBIT,ABBY BROYLES,BROCK PIERCE | KARLA BALLARD,DONALD J. TRUMP | MICHAEL R. PENCE,JADE SIMMONS | CLAUDELIAH J. ROZE,JIM INHOFE,JO JORGENSEN | JEREMY SPIKE COHEN,JOAN FARR,JOSEPH R. BIDEN | KAMALA D. HARRIS,KANYE WEST | MICHELLE TIDBALL,ROBERT MURPHY,TODD HAGOPIAN,TODD HIETT
10001,2,74,0,278,3,257,5,8,65,2,8,48,284
10002,1,66,0,245,1,232,1,3,56,4,4,39,248
10003,1,31,0,113,2,106,0,2,23,0,0,25,111
10004,3,91,0,195,0,175,2,7,85,2,7,58,214
10005,3,53,1,171,0,156,2,4,46,1,3,34,169
10006,1,138,3,425,2,391,4,8,112,2,10,97,430
10007,4,163,1,434,2,391,3,10,136,6,10,96,449
10008,6,94,1,308,1,283,4,6,81,2,8,60,314
10010,0,26,1,118,0,115,1,3,26,0,3,25,116
10011,3,40,0,185,1,160,3,7,35,1,5,32,165
10012,2,61,2,378,1,353,2,8,50,0,6,44,362
10013,2,99,3,249,0,233,3,8,91,1,4,63,259
10014,5,177,0,386,4,356,4,8,156,6,10,119,405
10016,3,74,1,357,1,347,2,4,71,1,4,47,367
10017,12,124,1,561,2,513,10,10,115,1,24,99,556
10018,5,167,0,505,1,449,5,8,135,0,17,109,504
10019,10,137,1,677,1,617,11,20,104,8,15,98,671
20110,0,12,0,170,1,166,3,5,14,0,4,11,173
20120,3,15,0,175,0,172,5,3,16,1,3,15,174
20140,4,54,3,334,1,306,3,15,46,2,9,36,338
20220,1,73,1,429,2,416,9,4,64,2,13,47,448
20230,1,34,1,243,0,238,5,5,36,1,8,27,251
20310,2,39,1,284,1,276,2,3,32,3,3,16,301
20320,1,22,0,156,0,147,3,2,16,0,3,13,158
20330,1,13,0,187,1,178,1,1,8,0,3,14,182
30001,2,111,1,433,0,426,4,5,119,0,12,79,438
30002,4,61,0,350,0,342,6,2,62,1,7,48,348
30003,2,94,1,259,1,255,5,3,95,0,4,64,263
30006,1,51,0,256,0,249,1,1,50,0,3,30,253
30007,0,80,1,394,0,380,5,7,75,0,2,50,389
30008,5,96,0,693,0,662,4,12,88,5,10,79,670
30009,1,67,1,433,1,412,3,2,62,0,12,49,414
30010,2,13,0,138,0,129,0,3,11,0,1,8,138
30011,5,123,0,743,1,707,10,10,116,2,17,100,724
30012,5,37,1,329,1,310,1,5,32,0,4,30,313
30013,1,38,0,296,0,289,6,2,34,0,6,26,289
30014,3,8,1,117,0,110,3,0,5,0,2,8,110
30015,0,18,0,82,0,77,0,1,14,0,0,10,82
30016,0,0,0,0,0,0,0,0,0,0,0,0,0
30017,0,0,0,0,0,0,0,0,0,0,0,0,0
30018,0,0,0,0,0,0,0,0,0,0,0,0,0
30019,0,1,0,34,0,32,1,1,2,0,3,4,33
40011,1,17,0,180,0,171,0,2,11,0,0,4,182
40013,0,4,0,119,0,112,1,1,2,0,3,7,111
40023,3,89,0,711,0,689,6,7,89,1,14,83,689
40025,4,21,0,172,1,165,0,4,23,0,1,20,167
40026,1,3,0,48,0,44,0,0,3,0,2,3,47
40031,3,11,1,246,0,234,2,3,10,0,6,10,239
40033,3,50,1,492,0,474,6,5,52,1,17,52,478
50111,6,148,0,693,1,643,14,9,125,1,27,93,698
50112,3,47,0,324,0,302,1,6,37,2,3,39,314
50115,0,14,0,162,0,161,2,1,13,1,2,10,165
50141,3,122,3,662,1,627,7,8,104,1,19,94,655
50231,1,43,0,374,1,355,4,7,39,0,10,39,368
50232,0,17,0,102,0,101,1,0,17,0,2,13,104
50235,15,278,2,1634,3,1547,25,20,243,3,47,232,1627
50242,0,43,0,291,0,279,3,3,34,0,3,29,291
50320,5,75,1,453,1,428,6,9,69,1,10,56,457
50330,2,39,0,399,0,381,2,2,33,0,9,31,390
50332,2,175,1,826,0,783,16,15,152,3,19,117,853
50333,9,169,1,701,1,671,19,8,160,4,26,120,724
50343,1,26,0,146,0,139,0,1,22,1,1,17,142
60002,3,89,1,591,1,566,7,10,75,3,10,48,612
60007,4,90,0,548,2,541,7,9,92,3,7,70,558
60010,2,81,2,258,2,235,2,9,70,1,5,51,271
60011,4,109,1,150,1,143,1,7,116,2,7,84,168
60012,5,186,1,781,2,739,16,16,167,2,20,117,814
60016,1,26,0,129,0,126,1,1,25,0,1,17,133
60017,4,137,1,371,0,339,8,6,118,7,11,108,363
60020,0,26,1,259,0,253,1,1,21,0,3,20,256
60022,1,7,0,49,0,45,1,0,4,0,1,5,48
70003,9,280,2,519,3,489,23,12,280,2,37,220,540
70004,7,216,0,619,2,598,13,7,217,1,22,153,652
70005,1,291,3,616,1,600,23,14,290,0,21,220,634
70008,5,279,2,645,6,629,18,16,286,1,23,198,686
70010,3,96,0,430,0,420,7,9,104,3,14,80,425
70011,2,30,0,187,0,178,3,0,30,0,8,21,183
70013,3,71,2,497,2,488,3,3,76,0,11,66,488
70014,1,52,0,309,0,298,9,5,45,2,6,33,311
70015,6,114,1,519,0,497,4,3,106,1,10,77,512
70017,5,89,1,394,1,373,7,9,93,2,12,78,380
70018,13,176,0,787,1,748,18,17,170,1,17,144,775
70019,7,166,0,700,2,674,11,10,162,1,18,132,703
70020,5,126,2,485,1,473,6,9,126,1,8,85,484
70021,5,125,1,626,1,602,7,4,118,0,14,91,629
70022,2,207,0,770,1,752,5,14,209,4,12,148,772
70023,0,67,0,313,0,311,3,0,64,4,5,33,314
70025,5,189,0,806,0,783,9,4,190,1,22,142,798
70026,6,104,0,457,0,454,16,7,117,1,19,100,461
70027,4,211,1,718,0,679,16,12,204,4,27,154,726
70028,4,103,2,592,2,566,5,11,92,2,11,75,586
70029,1,43,0,149,0,142,1,3,42,1,2,26,148
70033,7,300,2,1206,2,1174,23,16,302,3,39,230,1224
80012,7,174,1,109,3,108,4,10,193,1,9,124,128
80022,5,196,1,193,0,180,5,10,201,3,10,149,213
80031,7,146,0,116,2,122,6,7,168,1,11,123,144
80041,4,253,1,428,2,424,4,15,265,5,10,188,469
80051,7,452,4,543,6,534,15,19,459,10,22,333,625
80102,5,229,2,656,0,629,7,16,220,7,10,175,666
80509,3,72,0,351,1,332,4,7,72,1,13,56,353
80510,7,115,0,593,1,564,6,12,101,2,8,78,610
80511,7,277,1,651,0,619,11,18,277,4,21,218,662
80712,4,140,0,384,0,365,9,4,130,2,7,82,404
80715,1,31,0,89,0,83,0,4,32,0,2,20,94
80810,0,39,1,191,1,191,1,2,44,1,4,31,193
